Date : 2020-04-07 15:04:19
Directory : e:\WORK\Rtis-Vutfify
Total : 476 files,  124316 codes, 14969 comments, 13838 blanks, all 153123 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_checkboxes.scss                                       | SCSS       |          3 |          0 |          1 |          4 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_colors.scss                                           | SCSS       |        287 |          0 |         39 |        326 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_dropdown.scss                                         | SCSS       |         27 |          0 |          5 |         32 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_fixed-plugin.scss                                     | SCSS       |         39 |          0 |          8 |         47 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_footer.scss                                           | SCSS       |         54 |          0 |         10 |         64 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_inputs.scss                                           | SCSS       |         29 |          0 |          6 |         35 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_misc.scss                                             | SCSS       |         44 |          0 |         11 |         55 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_mixins.scss                                           | SCSS       |        139 |          1 |         23 |        163 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_sidebar.scss                                          | SCSS       |         68 |          0 |         18 |         86 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_tables.scss                                           | SCSS       |         26 |          0 |          7 |         33 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_tabs.scss                                             | SCSS       |         33 |          0 |          8 |         41 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_toolbar.scss                                          | SCSS       |         64 |          0 |         12 |         76 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_tooltips.scss                                         | SCSS       |         52 |          0 |          4 |         56 |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_typography.scss                                       | SCSS       |         69 |          0 |          8 |         77 |
